序号,食物名称,食物热量,食物营养信息链接
191,罗非鱼，又叫吴郭鱼、越南鱼、非洲鲫鱼、福寿鱼、尼罗鱼,热量：98 大卡(每100克),http://www.boohee.com/shiwu/luofeiyu
192,鳕鱼，又叫鳕狭、明太鱼、大头青、大口鱼、大头鱼、大头腥,热量：88 大卡(每100克),http://www.boohee.com/shiwu/xueyu
193,午餐肉,热量：229 大卡(每100克),http://www.boohee.com/shiwu/wucanrou
194,鱿鱼(干)，又叫土鱿,热量：313 大卡(每100克),http://www.boohee.com/shiwu/youyu_gan
195,鸭肝,热量：128 大卡(每100克),http://www.boohee.com/shiwu/yagan
196,猪肝(卤煮),热量：203 大卡(每100克),http://www.boohee.com/shiwu/zhugan_luzhu
197,牛肉(后腱),热量：98 大卡(每100克),http://www.boohee.com/shiwu/niurou_houjian
198,鸡肝,热量：121 大卡(每100克),http://www.boohee.com/shiwu/jigan
199,鲈鱼，又叫鲈花、鲈板、鲈子鱼、寨花、四腮鱼、鲁鱼、花糜,热量：105 大卡(每100克),http://www.boohee.com/shiwu/luyu
200,对虾，又叫大虾,热量：93 大卡(每100克),http://www.boohee.com/shiwu/duixia
201,酸奶（果粒）,热量：97 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoli
202,蒙牛 高钙牛奶,热量：59 大卡(每100毫升),http://www.boohee.com/shiwu/mengniugaogainiunai
203,脱脂牛奶，又叫脱脂奶,热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_tuozhi_pamalate
204,光明 e+益生菌酸牛奶（原味）220ml （袋装）,热量：45 大卡(每100克),http://www.boohee.com/shiwu/guangmingeyishengjunsuanniunai_yuanwei
205,低脂牛奶，又叫低脂奶 脱脂奶,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_bufentuozhi_pamalate
206,早餐奶,热量：68 大卡(每100克),http://www.boohee.com/shiwu/zaocannai
207,酸奶（高蛋白）,热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_gaodanbai
208,奶片,热量：472 大卡(每100克),http://www.boohee.com/shiwu/naipian
209,全脂牛奶粉,热量：478 大卡(每100克),http://www.boohee.com/shiwu/quanzhiniunaifen
210,光明 纯牛奶，又叫光明牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/fded1a79
211,酸奶,热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_junzhi
212,全脂牛奶，又叫纯牛奶，牛乳,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_junzhi
213,拿铁（全脂，无糖），又叫拿铁咖啡,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/fdbb1893
214,奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/shiwu/nailao
215,酸奶（中脂）,热量：64 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_zhongzhi
216,脱脂酸奶,热量：57 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_tuozhi
217,脱脂奶粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/tuozhinaifen
218,酸奶（调味）,热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_diaowei
219,光明 鲜牛奶，又叫光明鲜奶、光明牛奶,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_guangmingpai
220,酸奶(果料)，又叫果料酸奶,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoliao
221,光明 优倍 高品质鲜牛奶,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/fd962a6c
222,光明 优倍 0脂肪 高品质脱脂鲜牛奶,热量：35 大卡(每100毫升),http://www.boohee.com/shiwu/fd460d85
223,光明 优倍 0乳糖 巴士杀菌调制乳,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/fdb14fc7
224,光明 致优 全鲜乳,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/fdb47466
225,光明 0脂肪 鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/fd458bc8
226,牛奶(强化VA，VD)，又叫牛乳(强化VA，VD),热量：51 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_qianghuaVA_VD
227,光明 低脂牛奶,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingdizhiniunai
228,蒙牛 木糖醇酸牛奶,热量：63 大卡(每100克),http://www.boohee.com/shiwu/mengniusuanniunaimutangchun
229,低脂奶酪,热量：241 大卡(每100克),http://www.boohee.com/shiwu/dizhinailao
230,伊利 无蔗糖酸牛奶（利乐包）150g,热量：52 大卡(每100毫升),http://www.boohee.com/shiwu/yiliwuzhetangsuanniunai
231,蒙牛 酸牛奶（草莓+树莓）100g （小盒装）,热量：92 大卡(每100克),http://www.boohee.com/shiwu/mengniusuanniunai_caomeishumeiguoli
232,光明减脂90%脱脂鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingjianzhi90tuozhixianniunai
233,伊利优品嘉人优酪乳（原味）,热量：73 大卡(每100克),http://www.boohee.com/shiwu/yiliyoupinjiarenyoulaoru_yuanwei
234,光明畅优红枣燕麦低脂酸奶,热量：69 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchangyouhongzaoyanmaidizhisuannai
235,光明 芦荟酸奶,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingluhuisuannai
236,伊利酸牛奶(原味),热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/yilisuanniunai
237,全脂速溶奶粉,热量：466 大卡(每100克),http://www.boohee.com/shiwu/quanzhisurongnaifen
238,雀巢/Nestle 高钙高铁奶粉,热量：416 大卡(每100克),http://www.boohee.com/shiwu/quechaogaogaigaotienaifen
239,伊利 大果粒酸牛奶（红茶+草莓+椰果）,热量：92 大卡(每100克),http://www.boohee.com/shiwu/yilidaguolisuanniunai
240,奶酪（光明牌）,热量：348 大卡(每100克),http://www.boohee.com/shiwu/nailao_guangmingpai
