address,company,job,others,url_detail
上海,比亚迪,硬件工程师,本科以上 | 3-4年经验 | 全职 | 0.9-1.8万/月,https://www.jobui.com/job/132565738/
深圳,比亚迪,招聘主管,本科以上 | 3年以上 | 全职 | 12.0-18.0万元,https://www.jobui.com/job/177875545/
深圳,比亚迪,组织发展专员,2年经验 | 全职 | 0.6-1.2万/月,https://www.jobui.com/job/191925841/
深圳,比亚迪,涉外法务经理,本科以上 | 3年以上 | 全职,https://www.jobui.com/job/190886640/
深圳,比亚迪,涉外纠纷主管,本科以上 | 2年经验 | 全职 | 1.5-3万/月,https://www.jobui.com/job/209364794/
深圳,比亚迪,纠纷法务主管,本科以上 | 2年以上 | 全职 | 18.0-36.0万元,https://www.jobui.com/job/209367866/
深圳,比亚迪,主任人事科员,本科以上 | 应届毕业生 | 全职 | 0.6-1万/月,https://www.jobui.com/job/119126102/
深圳,比亚迪,关务专员,大专以上 | 2年以上 | 全职 | 7.2-12.0万元,https://www.jobui.com/job/211178893/
上海,比亚迪,高级结构工程师,本科以上 | 3-4年经验 | 全职 | 1-2万/月,https://www.jobui.com/job/131059824/
上海,比亚迪,结构工程师,本科以上 | 1年以上 | 全职 | 7.2-9.6万元,https://www.jobui.com/job/144420108/
